"Date","Movement","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","Negative","Positive"
"2009-01-21",0,21,14,10,18,7,15,8,13,28,19
"2009-01-22",1,14,9,8,17,4,12,4,14,25,19
"2009-01-23",1,14,8,7,20,6,13,3,14,23,18
"2009-01-26",0,9,11,8,10,6,12,9,17,21,17
"2009-01-27",0,11,10,6,14,7,14,3,17,27,19
"2009-01-28",0,8,10,6,12,6,7,5,11,17,14
"2009-01-29",1,7,9,4,10,5,8,5,17,17,23
"2009-01-30",1,9,6,6,11,5,7,3,13,15,20
"2009-02-02",1,12,13,5,19,7,9,4,15,20,21
"2009-02-03",0,13,13,8,14,5,7,4,12,20,22
"2009-02-04",1,12,8,4,15,5,9,2,16,20,25
"2009-02-05",0,11,10,5,14,3,7,4,11,15,22
"2009-02-06",0,17,11,7,23,5,11,5,17,21,23
"2009-02-09",1,13,5,6,17,2,11,2,14,27,17
"2009-02-10",1,15,12,8,20,8,14,7,13,25,26
"2009-02-11",0,11,11,6,21,8,13,8,17,22,21
"2009-02-12",0,14,7,6,19,3,10,6,14,23,13
"2009-02-13",1,13,5,5,17,4,11,3,10,20,12
"2009-02-17",1,16,7,8,23,8,12,6,19,28,16
"2009-02-18",0,10,9,7,21,8,10,2,17,26,15
"2009-02-19",1,13,10,5,20,7,10,6,14,20,17
"2009-02-20",1,14,8,10,13,4,10,4,12,24,13
"2009-02-23",1,10,8,9,12,6,9,2,14,22,20
"2009-02-24",0,11,8,8,14,5,13,3,12,24,15
"2009-02-25",1,11,11,1,20,8,11,5,16,28,21
"2009-02-26",1,10,9,4,14,6,7,5,13,17,16
"2009-02-27",1,15,14,5,19,4,8,7,16,19,20
"2009-03-02",1,14,10,4,18,6,12,7,10,25,16
"2009-03-03",1,12,9,3,15,1,7,4,9,20,17
"2009-03-04",0,10,10,8,20,7,10,2,15,21,17
"2009-03-05",1,18,8,8,23,8,15,3,16,32,21
"2009-03-06",0,13,6,11,18,4,14,5,9,26,17
"2009-03-09",1,10,11,2,11,6,9,5,12,20,14
"2009-03-10",0,14,9,6,19,6,9,3,21,19,27
"2009-03-11",0,16,9,5,24,2,15,4,10,21,16
"2009-03-12",0,14,4,6,15,2,9,7,7,24,14
"2009-03-13",0,16,2,10,18,2,14,1,9,24,17
"2009-03-16",1,16,8,6,17,4,11,4,16,25,19
"2009-03-17",0,10,11,4,15,7,10,6,21,21,26
"2009-03-18",0,9,8,4,12,4,8,4,9,17,12
"2009-03-19",1,10,4,6,14,3,9,3,12,15,17
"2009-03-20",1,13,9,6,16,5,15,2,15,31,16
"2009-03-23",0,16,9,7,16,2,6,4,10,24,13
"2009-03-24",1,10,10,5,12,10,11,5,18,21,21
"2009-03-25",0,20,10,9,23,5,17,5,21,29,21
"2009-03-26",0,14,13,9,21,5,13,3,18,25,21
"2009-03-27",1,13,9,9,22,6,15,4,21,27,21
"2009-03-30",1,12,9,7,13,7,10,3,16,15,26
"2009-03-31",0,13,13,7,18,8,7,1,18,19,18
"2009-04-01",0,13,10,2,13,7,8,9,10,21,17
"2009-04-02",0,10,5,9,14,3,8,1,11,24,19
"2009-04-03",0,9,9,3,11,5,9,3,13,17,11
"2009-04-06",1,7,9,4,12,3,5,7,14,18,11
"2009-04-07",1,14,14,6,19,4,11,10,17,26,22
"2009-04-08",0,6,7,3,10,3,6,5,15,18,21
"2009-04-09",0,14,6,9,20,3,15,5,17,23,18
"2009-04-13",1,8,14,5,10,7,9,8,11,13,21
"2009-04-14",1,12,6,5,24,2,10,7,7,23,18
"2009-04-15",0,12,8,9,17,3,9,2,12,27,22
"2009-04-16",0,9,7,7,19,3,10,3,8,22,10
"2009-04-17",0,20,12,8,24,4,18,9,12,26,12
"2009-04-20",1,12,9,3,16,4,11,4,14,21,17
"2009-04-21",0,6,9,5,9,8,7,5,17,11,18
"2009-04-22",1,8,5,2,11,4,5,2,15,17,19
"2009-04-23",0,13,10,6,18,7,13,2,13,25,12
"2009-04-24",0,15,11,5,15,9,12,6,8,25,21
"2009-04-27",1,3,9,3,14,5,8,7,12,21,15
"2009-04-28",1,11,8,6,14,5,7,4,14,22,16
"2009-04-29",0,19,14,9,25,5,9,7,16,30,21
"2009-04-30",1,8,6,5,17,5,5,6,16,22,21
"2009-05-01",0,16,7,9,28,7,12,5,14,32,17
"2009-05-04",0,18,11,11,27,7,15,7,13,37,16
"2009-05-05",1,16,13,9,24,7,11,6,13,34,17
"2009-05-06",0,14,7,2,18,3,9,4,14,20,16
"2009-05-07",1,13,8,5,14,6,11,10,14,21,21
"2009-05-08",0,17,13,10,23,10,16,4,18,28,22
"2009-05-11",1,16,6,8,23,7,10,7,18,28,23
"2009-05-12",0,15,7,10,21,6,11,11,14,26,15
"2009-05-13",1,11,6,6,16,2,12,1,17,22,18
"2009-05-14",0,8,10,6,8,7,7,2,6,18,13
"2009-05-15",1,16,6,9,16,3,12,4,11,31,13
"2009-05-18",0,12,8,7,14,3,7,3,16,19,20
"2009-05-19",1,11,10,9,16,7,11,4,11,22,26
"2009-05-20",1,6,7,8,10,4,11,0,7,20,10
"2009-05-21",1,13,6,6,16,3,12,4,11,21,15
"2009-05-22",1,11,10,8,15,5,10,2,14,19,20
"2009-05-26",0,20,6,12,25,5,14,11,10,29,17
"2009-05-27",1,16,8,5,22,4,11,6,14,23,10
"2009-05-28",0,12,10,6,15,9,11,6,19,18,23
"2009-05-29",0,16,9,4,18,6,12,4,16,28,27
"2009-06-01",0,13,14,6,16,5,10,2,13,20,17
"2009-06-02",0,12,11,8,12,8,10,6,14,17,21
"2009-06-03",1,9,12,6,12,6,9,8,13,17,26
"2009-06-04",0,11,10,6,12,9,6,13,18,24,25
"2009-06-05",0,5,4,3,9,7,6,2,12,12,18
"2009-06-08",0,11,7,9,18,5,10,4,16,23,18
"2009-06-09",1,14,8,10,26,8,12,9,16,30,27
"2009-06-10",1,15,9,8,24,7,14,5,19,28,27
"2009-06-11",0,19,11,12,28,11,21,6,18,33,25
"2009-06-12",0,7,8,3,9,6,7,6,15,16,24
"2009-06-15",1,14,11,7,16,3,10,4,17,23,15
"2009-06-16",1,14,11,5,19,4,8,6,19,26,27
"2009-06-17",1,11,12,3,16,7,8,8,18,22,16
"2009-06-18",0,11,13,5,20,7,10,6,32,24,32
"2009-06-19",1,19,12,8,19,4,14,5,15,28,21
"2009-06-22",1,17,9,7,22,6,11,4,16,23,24
"2009-06-23",1,11,6,5,15,8,12,6,13,25,17
"2009-06-24",1,14,12,7,17,8,12,5,16,28,18
"2009-06-25",0,7,9,6,11,3,7,4,8,17,18
"2009-06-26",1,5,5,2,11,2,4,4,11,12,13
"2009-06-29",0,16,11,8,21,3,11,4,9,27,11
"2009-06-30",1,9,5,2,14,7,9,4,18,19,22
"2009-07-01",0,11,8,7,10,4,6,3,9,19,16
"2009-07-02",1,12,5,2,23,4,12,6,7,23,15
"2009-07-06",0,15,11,7,23,5,10,6,16,22,21
"2009-07-07",1,12,8,5,17,3,6,2,9,19,11
"2009-07-08",0,21,15,10,23,9,18,7,13,30,22
"2009-07-09",0,21,10,8,22,2,15,7,10,27,16
"2009-07-10",1,9,13,11,15,4,10,2,13,30,15
"2009-07-13",0,15,9,7,24,5,15,7,13,27,19
"2009-07-14",0,19,7,13,25,7,14,7,18,35,17
"2009-07-15",0,13,7,6,19,4,10,7,12,19,18
"2009-07-16",0,12,5,5,20,4,17,5,14,23,17
"2009-07-17",0,17,10,7,24,11,14,7,17,30,23
"2009-07-20",0,17,10,10,25,4,15,4,17,30,15
"2009-07-21",0,17,8,6,16,9,13,4,18,26,21
"2009-07-22",1,12,10,9,15,10,7,4,21,24,31
"2009-07-23",0,10,8,4,14,6,9,4,7,23,8
"2009-07-24",0,11,12,4,13,5,11,7,9,22,26
"2009-07-27",0,12,15,4,8,6,7,5,13,13,15
"2009-07-28",1,21,9,16,25,9,20,7,14,35,31
"2009-07-29",1,17,17,10,26,10,13,11,19,28,24
"2009-07-30",0,14,10,12,22,9,16,10,13,32,17
"2009-07-31",0,17,15,8,24,7,18,8,22,34,21
"2009-08-03",0,11,7,9,18,7,11,2,18,20,24
"2009-08-04",0,13,8,4,14,5,9,5,10,19,17
"2009-08-05",1,15,11,14,23,4,16,6,17,29,22
"2009-08-06",1,12,5,11,18,5,10,4,15,22,18
"2009-08-07",0,11,12,6,16,10,11,9,21,27,24
"2009-08-10",1,13,3,10,17,2,10,2,8,20,17
"2009-08-11",1,8,5,3,13,2,6,3,9,19,14
"2009-08-12",0,16,13,10,21,4,13,3,13,28,22
"2009-08-13",0,23,11,11,26,6,22,6,12,31,22
"2009-08-14",1,13,8,4,19,5,8,4,14,19,18
"2009-08-17",1,13,9,9,25,8,18,6,21,31,25
"2009-08-18",0,15,13,8,15,6,11,3,15,23,18
"2009-08-19",0,9,9,5,10,10,8,6,26,15,25
"2009-08-20",0,13,7,6,19,0,13,1,17,25,26
"2009-08-21",0,23,12,14,22,9,17,7,12,39,25
"2009-08-24",0,9,9,4,12,8,7,1,12,24,22
"2009-08-25",0,15,12,7,18,7,12,4,13,30,16
"2009-08-26",0,17,9,8,14,6,10,6,16,28,20
"2009-08-27",0,19,13,6,17,5,12,6,15,22,22
"2009-08-28",1,15,9,10,16,6,15,4,14,26,22
"2009-08-31",1,14,11,9,15,4,14,2,17,26,25
"2009-09-01",1,13,16,8,16,12,9,7,18,21,25
"2009-09-02",1,11,8,8,14,5,13,5,12,26,22
"2009-09-03",0,15,8,10,24,3,11,8,14,29,23
"2009-09-04",0,12,8,6,17,9,12,6,21,27,26
"2009-09-08",0,7,7,5,11,3,5,2,9,16,11
"2009-09-09",0,14,9,4,14,4,10,5,14,19,17
"2009-09-10",0,14,14,8,19,12,14,10,19,23,27
"2009-09-11",1,12,11,9,21,3,11,1,10,26,17
"2009-09-14",0,14,11,8,20,5,15,4,21,31,23
"2009-09-15",0,17,9,7,25,5,12,7,17,25,21
"2009-09-16",0,10,16,5,18,12,13,6,19,21,28
"2009-09-17",1,15,11,12,20,7,13,7,12,27,16
"2009-09-18",0,20,12,11,29,10,15,11,16,31,23
"2009-09-21",1,15,11,9,23,7,11,5,18,25,29
"2009-09-22",0,13,16,12,20,18,10,8,23,27,36
"2009-09-23",1,21,9,9,24,3,14,7,13,31,24
"2009-09-24",1,13,10,7,21,7,11,4,14,28,19
"2009-09-25",1,17,11,7,19,9,10,5,15,27,24
"2009-09-28",0,12,6,7,18,5,12,5,8,24,14
"2009-09-29",1,16,15,9,20,9,10,7,20,25,30
"2009-09-30",1,12,9,6,17,4,6,3,12,22,20
"2009-10-01",1,10,12,8,16,9,7,6,16,26,19
"2009-10-02",1,15,13,13,25,8,20,9,16,27,20
"2009-10-05",0,17,9,7,25,7,18,8,19,31,25
"2009-10-06",0,17,13,12,20,7,13,6,15,22,24
"2009-10-07",1,17,9,6,21,5,13,4,15,31,20
"2009-10-08",0,12,18,8,19,9,15,9,19,31,22
"2009-10-09",0,11,9,6,14,4,12,6,18,30,23
"2009-10-12",0,18,10,13,23,4,13,4,15,29,18
"2009-10-13",1,11,17,7,19,10,11,7,11,26,19
"2009-10-14",0,10,5,9,18,5,13,5,20,25,22
"2009-10-15",0,8,11,6,15,5,9,5,17,23,28
"2009-10-16",1,15,14,11,18,10,11,5,23,30,32
"2009-10-19",0,14,7,5,21,7,13,4,13,29,26
"2009-10-20",1,12,14,7,19,7,8,8,20,25,29
"2009-10-21",1,11,14,7,13,9,12,5,19,27,31
"2009-10-22",0,9,13,12,17,11,9,6,19,24,26
"2009-10-23",1,11,7,5,20,7,14,5,14,32,22
"2009-10-26",1,9,12,2,18,6,7,5,21,22,29
"2009-10-27",0,19,14,8,24,8,14,3,17,28,29
"2009-10-28",1,18,15,12,22,11,16,8,20,34,29
"2009-10-29",0,19,10,12,22,7,19,2,23,35,28
"2009-10-30",1,14,15,10,21,8,14,8,18,35,31
"2009-11-02",0,11,9,6,17,3,7,5,10,18,14
"2009-11-03",1,16,8,8,22,7,18,5,24,42,27
"2009-11-04",0,15,10,6,27,7,15,4,17,33,23
"2009-11-05",0,16,19,8,17,12,14,8,24,30,35
"2009-11-06",0,23,13,10,26,8,15,8,21,32,26
"2009-11-09",0,12,15,9,22,9,12,9,21,26,22
"2009-11-10",0,18,12,8,22,7,10,4,16,28,20
"2009-11-11",0,14,8,7,20,7,8,5,21,23,32
"2009-11-12",1,9,13,7,17,5,6,3,13,21,17
"2009-11-13",0,19,14,6,29,7,17,7,23,32,28
"2009-11-16",0,13,12,11,23,5,13,5,17,26,19
"2009-11-17",0,12,10,5,17,6,7,3,14,22,21
"2009-11-18",0,15,13,8,18,8,13,5,20,29,25
"2009-11-19",1,16,12,9,22,5,15,3,15,24,15
"2009-11-20",1,17,11,8,24,6,14,5,20,24,25
"2009-11-23",0,16,11,7,19,7,11,5,18,29,27
"2009-11-24",1,13,13,12,22,8,14,4,20,30,17
"2009-11-25",0,16,7,6,18,4,15,3,13,27,16
"2009-11-27",1,15,13,9,18,11,12,7,14,24,19
"2009-11-30",0,16,10,10,21,5,13,9,24,32,28
"2009-12-01",0,16,9,4,19,6,13,3,15,19,18
